No,frame,x,y
0.0,1.0,811.0,343.0
1.0,1.0,812.0,365.0
2.0,1.0,814.0,387.0
3.0,1.0,818.0,407.0
4.0,1.0,828.0,424.0
5.0,1.0,843.0,438.0
6.0,1.0,862.0,448.0
7.0,1.0,884.0,454.0
8.0,1.0,906.0,456.0
9.0,1.0,925.0,453.0
10.0,1.0,939.0,443.0
11.0,1.0,950.0,429.0
12.0,1.0,958.0,413.0
13.0,1.0,963.0,396.0
14.0,1.0,966.0,378.0
15.0,1.0,968.0,360.0
16.0,1.0,969.0,342.0
17.0,1.0,839.0,313.0
18.0,1.0,851.0,302.0
19.0,1.0,865.0,298.0
20.0,1.0,881.0,298.0
21.0,1.0,896.0,304.0
22.0,1.0,915.0,305.0
23.0,1.0,928.0,302.0
24.0,1.0,941.0,303.0
25.0,1.0,952.0,307.0
26.0,1.0,958.0,317.0
27.0,1.0,908.0,324.0
28.0,1.0,909.0,334.0
29.0,1.0,911.0,345.0
30.0,1.0,913.0,356.0
31.0,1.0,891.0,371.0
32.0,1.0,900.0,373.0
33.0,1.0,909.0,375.0
34.0,1.0,917.0,373.0
35.0,1.0,924.0,372.0
36.0,1.0,857.0,328.0
37.0,1.0,865.0,324.0
38.0,1.0,874.0,324.0
39.0,1.0,881.0,328.0
40.0,1.0,874.0,329.0
41.0,1.0,865.0,329.0
42.0,1.0,924.0,329.0
43.0,1.0,932.0,326.0
44.0,1.0,940.0,328.0
45.0,1.0,946.0,332.0
46.0,1.0,940.0,332.0
47.0,1.0,933.0,331.0
48.0,1.0,879.0,407.0
49.0,1.0,892.0,396.0
50.0,1.0,903.0,391.0
51.0,1.0,910.0,394.0
52.0,1.0,918.0,392.0
53.0,1.0,926.0,397.0
54.0,1.0,932.0,407.0
55.0,1.0,925.0,412.0
56.0,1.0,918.0,414.0
57.0,1.0,909.0,414.0
58.0,1.0,901.0,414.0
59.0,1.0,890.0,413.0
60.0,1.0,884.0,406.0
61.0,1.0,902.0,400.0
62.0,1.0,910.0,400.0
63.0,1.0,918.0,400.0
64.0,1.0,928.0,406.0
65.0,1.0,918.0,402.0
66.0,1.0,909.0,403.0
67.0,1.0,902.0,403.0
0.0,2.0,827.0,341.0
1.0,2.0,827.0,363.0
2.0,2.0,827.0,385.0
3.0,2.0,830.0,406.0
4.0,2.0,839.0,424.0
5.0,2.0,854.0,438.0
6.0,2.0,874.0,449.0
7.0,2.0,896.0,456.0
8.0,2.0,918.0,458.0
9.0,2.0,938.0,456.0
10.0,2.0,953.0,447.0
11.0,2.0,964.0,433.0
12.0,2.0,972.0,417.0
13.0,2.0,977.0,399.0
14.0,2.0,981.0,382.0
15.0,2.0,982.0,364.0
16.0,2.0,982.0,347.0
17.0,2.0,857.0,309.0
18.0,2.0,868.0,297.0
19.0,2.0,883.0,292.0
20.0,2.0,900.0,293.0
21.0,2.0,914.0,299.0
22.0,2.0,934.0,303.0
23.0,2.0,946.0,301.0
24.0,2.0,959.0,303.0
25.0,2.0,969.0,308.0
26.0,2.0,974.0,320.0
27.0,2.0,926.0,321.0
28.0,2.0,927.0,332.0
29.0,2.0,929.0,343.0
30.0,2.0,931.0,355.0
31.0,2.0,907.0,369.0
32.0,2.0,917.0,371.0
33.0,2.0,926.0,374.0
34.0,2.0,934.0,373.0
35.0,2.0,941.0,372.0
36.0,2.0,874.0,325.0
37.0,2.0,882.0,321.0
38.0,2.0,891.0,321.0
39.0,2.0,899.0,326.0
40.0,2.0,891.0,327.0
41.0,2.0,882.0,326.0
42.0,2.0,942.0,330.0
43.0,2.0,950.0,328.0
44.0,2.0,958.0,330.0
45.0,2.0,963.0,335.0
46.0,2.0,957.0,334.0
47.0,2.0,950.0,333.0
48.0,2.0,892.0,405.0
49.0,2.0,907.0,395.0
50.0,2.0,919.0,390.0
51.0,2.0,926.0,392.0
52.0,2.0,934.0,391.0
53.0,2.0,941.0,397.0
54.0,2.0,946.0,409.0
55.0,2.0,940.0,413.0
56.0,2.0,932.0,414.0
57.0,2.0,924.0,414.0
58.0,2.0,916.0,413.0
59.0,2.0,905.0,411.0
60.0,2.0,898.0,404.0
61.0,2.0,918.0,399.0
62.0,2.0,925.0,400.0
63.0,2.0,933.0,400.0
64.0,2.0,941.0,407.0
65.0,2.0,932.0,402.0
66.0,2.0,924.0,402.0
67.0,2.0,917.0,402.0
0.0,3.0,830.0,340.0
1.0,3.0,829.0,363.0
2.0,3.0,829.0,386.0
3.0,3.0,832.0,408.0
4.0,3.0,841.0,426.0
5.0,3.0,856.0,440.0
6.0,3.0,876.0,449.0
7.0,3.0,898.0,455.0
8.0,3.0,921.0,457.0
9.0,3.0,941.0,455.0
10.0,3.0,956.0,447.0
11.0,3.0,967.0,434.0
12.0,3.0,976.0,419.0
13.0,3.0,981.0,403.0
14.0,3.0,985.0,385.0
15.0,3.0,987.0,368.0
16.0,3.0,988.0,351.0
17.0,3.0,863.0,307.0
18.0,3.0,875.0,294.0
19.0,3.0,891.0,289.0
20.0,3.0,908.0,290.0
21.0,3.0,923.0,298.0
22.0,3.0,940.0,302.0
23.0,3.0,953.0,300.0
24.0,3.0,966.0,302.0
25.0,3.0,977.0,310.0
26.0,3.0,981.0,322.0
27.0,3.0,933.0,321.0
28.0,3.0,934.0,332.0
29.0,3.0,936.0,342.0
30.0,3.0,937.0,353.0
31.0,3.0,912.0,369.0
32.0,3.0,922.0,371.0
33.0,3.0,931.0,374.0
34.0,3.0,940.0,373.0
35.0,3.0,947.0,373.0
36.0,3.0,879.0,322.0
37.0,3.0,888.0,318.0
38.0,3.0,898.0,319.0
39.0,3.0,905.0,324.0
40.0,3.0,898.0,325.0
41.0,3.0,888.0,324.0
42.0,3.0,947.0,330.0
43.0,3.0,956.0,327.0
44.0,3.0,964.0,330.0
45.0,3.0,969.0,336.0
46.0,3.0,963.0,335.0
47.0,3.0,956.0,333.0
48.0,3.0,896.0,405.0
49.0,3.0,911.0,395.0
50.0,3.0,923.0,389.0
51.0,3.0,930.0,393.0
52.0,3.0,938.0,391.0
53.0,3.0,945.0,399.0
54.0,3.0,949.0,411.0
55.0,3.0,943.0,414.0
56.0,3.0,935.0,415.0
57.0,3.0,927.0,414.0
58.0,3.0,919.0,413.0
59.0,3.0,908.0,411.0
60.0,3.0,901.0,404.0
61.0,3.0,922.0,400.0
62.0,3.0,929.0,401.0
63.0,3.0,937.0,402.0
64.0,3.0,945.0,409.0
65.0,3.0,936.0,403.0
66.0,3.0,928.0,403.0
67.0,3.0,921.0,402.0
0.0,4.0,825.0,343.0
1.0,4.0,824.0,365.0
2.0,4.0,825.0,388.0
3.0,4.0,828.0,409.0
4.0,4.0,837.0,426.0
5.0,4.0,853.0,439.0
6.0,4.0,874.0,448.0
7.0,4.0,897.0,454.0
8.0,4.0,919.0,456.0
9.0,4.0,940.0,454.0
10.0,4.0,955.0,446.0
11.0,4.0,968.0,434.0
12.0,4.0,977.0,418.0
13.0,4.0,983.0,402.0
14.0,4.0,987.0,384.0
15.0,4.0,988.0,367.0
16.0,4.0,988.0,350.0
17.0,4.0,858.0,308.0
18.0,4.0,870.0,294.0
19.0,4.0,886.0,287.0
20.0,4.0,904.0,288.0
21.0,4.0,919.0,296.0
22.0,4.0,936.0,300.0
23.0,4.0,950.0,296.0
24.0,4.0,964.0,299.0
25.0,4.0,975.0,307.0
26.0,4.0,979.0,320.0
27.0,4.0,930.0,319.0
28.0,4.0,931.0,329.0
29.0,4.0,933.0,339.0
30.0,4.0,935.0,349.0
31.0,4.0,911.0,366.0
32.0,4.0,921.0,368.0
33.0,4.0,930.0,371.0
34.0,4.0,938.0,370.0
35.0,4.0,945.0,369.0
36.0,4.0,876.0,322.0
37.0,4.0,886.0,317.0
38.0,4.0,895.0,317.0
39.0,4.0,903.0,323.0
40.0,4.0,895.0,324.0
41.0,4.0,886.0,324.0
42.0,4.0,944.0,328.0
43.0,4.0,954.0,325.0
